id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,instrumentalness,speechiness,loudness_norm
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020,0.02,0.05,0.72
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,62,2020,0.45,0.04,0.38
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,71,2010,0.01,0.06,0.88
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,55,2020,0.62,0.03,0.30
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020,0.00,0.07,0.90
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,48,2010,0.80,0.03,0.22
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,52,2000,0.55,0.04,0.32
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,74,2020,0.15,0.05,0.68
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,59,2020,0.50,0.04,0.35
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,80,2020,0.03,0.05,0.70
11,Bass Drop Kingdom,Subzero,EDM,intense,0.95,140,0.62,0.91,0.04,82,2020,0.12,0.06,0.92
12,Sunday Acoustic,Clara Fields,folk,relaxed,0.30,68,0.75,0.50,0.94,58,2010,0.08,0.04,0.28
13,Neon Prophecy,Grid Rider,synthwave,moody,0.72,108,0.44,0.70,0.19,65,2020,0.20,0.05,0.65
14,Street Cipher,Blok Theory,hip-hop,intense,0.85,98,0.52,0.84,0.12,77,2020,0.00,0.28,0.80
15,Raindrop Sonata,Elara Keys,classical,chill,0.22,58,0.68,0.35,0.97,46,2000,0.88,0.03,0.18
16,Smooth Like That,Vance Rhythm,R&B,happy,0.65,95,0.80,0.76,0.38,76,2020,0.04,0.08,0.60
17,Thunder Descent,Iron Vale,metal,intense,0.97,168,0.30,0.72,0.03,69,2010,0.10,0.07,0.95
18,Open Road Hymn,Dust & Draw,country,relaxed,0.45,82,0.73,0.62,0.82,60,2010,0.06,0.05,0.42
19,Fuego Samba,Los Vibrantes,latin,happy,0.88,138,0.86,0.93,0.10,83,2020,0.01,0.06,0.85
20,After Hours Blue,Velvet Trio,jazz,moody,0.48,88,0.42,0.56,0.78,54,2000,0.42,0.06,0.44
